Parking|Parking_gratis|Gimnasio|Restaurante|Piscina|Piscina_interior|Piscina_infinita|Aire|Calefaccion|Vistas|Terraza|Baño_privado|url_estancia
False|False|False|False|False|False|False|False|False|False|False|False|https://www.booking.com/hotel/es/hacienda-santa-barbara.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/suites-kris-vega-del-rey.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|False|False|False|False|False|https://www.booking.com/hotel/es/estudio-a-estrenar-en-san-bernardo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|True|True|https://www.booking.com/hotel/es/balcon-soleado-de-sevilla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/apartamentos-puerta-del-sur.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/kiriki-rooms.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/resitur-apto-731.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|False|False|False|False|True|https://www.booking.com/hotel/es/estudiovintage-heliopolis.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|True|False|False|True|False|False|True|True|True|True|True|https://www.booking.com/hotel/es/la-casa-de-las-flores-mairena-del-aljarafe.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/pilatos-singular-apartments.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|False|True|False|True|https://www.booking.com/hotel/es/casa-palacio-el-condestable-de-sevilla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|False|False|False|True|https://www.booking.com/hotel/es/b-amp-b-sevilla-bormujos.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/apartamentos-sevilla-este.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|True|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/hostal-cafe-frenteabastos-carmona.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|True|False|False|False|False|False|True|True|False|True|True|https://www.booking.com/hotel/es/pisito-de-la-lola-flores-2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/rentalsevilla-renovated-apartment-in-triana.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|True|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/hostal-nueva-andalucia.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/rentalsevilla-apartamento-encantador-en-borbolla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|False|False|True|True|https://www.booking.com/hotel/es/aljarafe-suites.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/casa-de-la-luz-elegante-casco-antiguo-5-hab-10px.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/apartamento-puerta-de-cordoba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/rentalsevilla-alfareria-ii.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|True|False|False|True|False|False|True|True|True|True|True|https://www.booking.com/hotel/es/hacienda-la-macarena-de-sevilla-cantillana.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|True|https://www.booking.com/hotel/es/home-triana.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/rentalsevilla-studio-on-the-banks-of-the-guadalquivir.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/servilia.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|True|True|https://www.booking.com/hotel/es/lince.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|False|False|False|False|False|False|True|True|True|True|False|https://www.booking.com/hotel/es/joseph-sevilla.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|False|False|False|https://www.booking.com/hotel/es/serenity-gelves.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
False|False|False|False|False|False|False|True|True|True|False|True|https://www.booking.com/hotel/es/mare-hoteles-isla-menor.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
True|True|False|False|True|False|False|True|True|True|True|True|https://www.booking.com/hotel/es/las-brisas-valencina-de-la-concepcion.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0
