lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Córdoba|Hostal Palacio del Corregidor|https://www.booking.com/hotel/es/el-palacio-del-corregidor.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,7|4936|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Hostal la Fuente|https://www.booking.com/hotel/es/hostal-la-fuente.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|7240|Hotel|1|2026-09-16|2026-09-19|2|1|0
Córdoba|Los Patios|https://www.booking.com/hotel/es/los-patios.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|2804|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|Apartamentos la Fuente|https://www.booking.com/hotel/es/apartamentos-la-fuente.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,2|2562|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|La Torre|https://www.booking.com/hotel/es/casa-turistica-la-torre.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,8|464|NA|NA|2026-09-16|2026-09-19|2|1|0
Córdoba|Jardines Suites GP|https://www.booking.com/hotel/es/jardines-suites-gp.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|466|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Serrano|https://www.booking.com/hotel/es/serrano-s-l.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|2199|Hotel|2|2026-09-16|2026-09-19|2|1|0
Córdoba|Orfebre Góngora|https://www.booking.com/hotel/es/hospederia-luis-de-gongora.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|3422|Hotel|1|2026-09-16|2026-09-19|2|1|0
Córdoba|Apartamentos Plaza|https://www.booking.com/hotel/es/apartamentos-plaza-cordoba1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1104|Hotel|1|2026-09-16|2026-09-19|2|1|0
Córdoba|Ribera Suites GP|https://www.booking.com/hotel/es/ribera-suites-gp.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|344|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Itaca Colón by Soho Boutique|https://www.booking.com/hotel/es/itaca-cordoba.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|1952|Hotel|2|2026-09-16|2026-09-19|2|1|0
Córdoba|Azhar Suites|https://www.booking.com/hotel/es/azhar-suites.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|179|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Exe Las Adelfas|https://www.booking.com/hotel/es/exe-las-adelfas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|3272|Hotel|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Córdoba Centro|https://www.booking.com/hotel/es/cordoba-centro.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|1753|Hotel|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Averroes|https://www.booking.com/hotel/es/averroes.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,5|2089|Hotel|3|2026-09-16|2026-09-19|2|1|0
Córdoba|Trigo Homes|https://www.booking.com/hotel/es/trigo-homes.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|718|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Córdoba|Hotel Maestre|https://www.booking.com/hotel/es/maestre.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|4468|Hotel|1|2026-09-16|2026-09-19|2|1|0
