lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Jaén|Hotel Condestable Iranzo|https://www.booking.com/hotel/es/condestable-iranzo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|5409|Hotel|4|2026-09-16|2026-09-19|2|1|0
Jaén|Hotel Europa Jaén|https://www.booking.com/hotel/es/europa-jaen.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,7|2273|Hotel|3|2026-09-16|2026-09-19|2|1|0
Jaén|Infanta Cristina|https://www.booking.com/hotel/es/infanta-cristina.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1838|Hotel|4|2026-09-16|2026-09-19|2|1|0
Jaén|HO By Olivencia Ciudad de Jaén|https://www.booking.com/hotel/es/hociudaddejaen.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|5119|Hotel|4|2026-09-16|2026-09-19|2|1|0
Jaén|Bonito piso en San Ildefonso - Centro|https://www.booking.com/hotel/es/maria-ea.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|84|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Jaén|Apartamento baños Árabes|https://www.booking.com/hotel/es/apartamento-banos-arabes-jaen.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|29|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Jaén|Coello 31|https://www.booking.com/hotel/es/coello-31.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,6|305|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Jaén|Los Caños 'Calm Home' - 1|https://www.booking.com/hotel/es/los-canos-2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,4|75|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Jaén|Koala21 - Apartamento céntrico y moderno con Parking|https://www.booking.com/hotel/es/lujoso-apartamento-centro-jaen.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|65|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Jaén|Judería Suite Jaén|https://www.booking.com/hotel/es/la-casa-de-la-abuela-jaen.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,5|39|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
