lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Málaga|Ona Las Rampas|https://www.booking.com/hotel/es/las-rampas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|4042|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|First Flatotel International|https://www.booking.com/hotel/es/flatotel-international.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,7|4006|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Nch Hotel Torremolinos|https://www.booking.com/hotel/es/nch.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,7|3497|Hotel|2|2026-09-16|2026-09-19|2|1|0
Málaga|Estudio céntrico en Torremolinos|https://www.booking.com/hotel/es/estudio-centrico-en-torremolinos-torremolinos3.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|12|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|APARTAMENTOS Los PECES MALAGA|https://www.booking.com/hotel/es/apartamentos-los-peces.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,5|86|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Globales Paraíso Beach|https://www.booking.com/hotel/es/globales-paraiso-beach.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,6|905|Hotel|4|2026-09-16|2026-09-19|2|1|0
Málaga|Ona Valle Romano Golf & Resort|https://www.booking.com/hotel/es/ona-valle-romano-golf-and-resort.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|11025|Hotel|4|2026-09-16|2026-09-19|2|1|0
Málaga|Apartamentos Las Dunas|https://www.booking.com/hotel/es/apartamentos-las-dunas-torrox-costa.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,6|8|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Finca Mil Estrellas|https://www.booking.com/hotel/es/finca-mil-estrellas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|65|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Finca Buenavista|https://www.booking.com/hotel/es/finca-buenavista.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|165|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Finca Serrato|https://www.booking.com/hotel/es/finca-serrato.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|174|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Real Maqueda - Málaga|https://www.booking.com/hotel/es/hostal-real-maqueda.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|748|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|Finca La Piedra Holidays|https://www.booking.com/hotel/es/finca-la-piedra-holidays.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|87|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Villa Las Lomas de Marbella|https://www.booking.com/hotel/es/las-lomas-de-marbella.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,6|81|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Apartamentos Parque Ardales|https://www.booking.com/hotel/es/apartamentos-parque-ardales-ardales.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|146|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Lujoso apartamento|https://www.booking.com/hotel/es/lujoso-apartamento-malaga.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|10|1|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal Caminito del Rey|https://www.booking.com/hotel/es/hostal-caminito-del-rey.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|1103|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Ona Club Bena Vista|https://www.booking.com/hotel/es/ona-club-bena-vista.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|1390|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal Sol y Miel|https://www.booking.com/hotel/es/hostal-sol-y-miel.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|2712|Hotel|2|2026-09-16|2026-09-19|2|1|0
Málaga|Málaga Apartamentos - Refino, 36|https://www.booking.com/hotel/es/apartamentos-malaga-malaga.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|184|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel Rural Sierra Tejeda|https://www.booking.com/hotel/es/sierra-tejeda.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|709|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel Ritual Sireno Torremolinos - Adults Only|https://www.booking.com/hotel/es/sireno.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|2254|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Apartamentos Tamarindos|https://www.booking.com/hotel/es/apartamentos-tamarindos-benalmadena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,2|298|Hotel|2|2026-09-16|2026-09-19|2|1|0
Málaga|Rural La Paloma|https://www.booking.com/hotel/es/rural-la-paloma.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|237|Hotel|2|2026-09-16|2026-09-19|2|1|0
Málaga|GAV La Ermita|https://www.booking.com/hotel/es/apartamentos-la-ermita.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|1187|Hotel|2|2026-09-16|2026-09-19|2|1|0
Málaga|La Finca Blanca|https://www.booking.com/hotel/es/la-finca-blanca.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|289|Hotel|4|2026-09-16|2026-09-19|2|1|0
Málaga|La Paloma|https://www.booking.com/hotel/es/la-paloma-malaga2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|72|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal Durán|https://www.booking.com/hotel/es/hostal-duran.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|974|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal Alisol Boutique San Pedro|https://www.booking.com/hotel/es/alisol-boutique-san-pedro.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|1072|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|Casa Duende del Tajo|https://www.booking.com/hotel/es/babia-backpacker.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|1691|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Pierre & Vacances Resort Terrazas Costa del Sol|https://www.booking.com/hotel/es/village-club-pierre-vacances-terrazas-costa-del-sol.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,5|2228|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Sol y playa|https://www.booking.com/hotel/es/sol-y-playa-benalmadena1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,1|97|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal R-Conecta|https://www.booking.com/hotel/es/hostal-casa-bob.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|126|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Boutique Higueron Spa|https://www.booking.com/hotel/es/chalet-higueron.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|31|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|La LIPA Suites|https://www.booking.com/hotel/es/la-lipa-suites-inauguracion-julio-2024.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|52|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|ALOJAMIENTOS Manu|https://www.booking.com/hotel/es/alojamientos-manu.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|25|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Casa La Plaza|https://www.booking.com/hotel/es/casa-la-plaza-frigiliana.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|101|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Apartamentos Martalia Arenal|https://www.booking.com/hotel/es/apartamentos-martalia-arenal.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|3306|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Casita de Rosario|https://www.booking.com/hotel/es/casita-de-rosario-cortes-de-la-frontera.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|29|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Bienvenida 3|https://www.booking.com/hotel/es/bienvenida-3.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|4|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Toro Vista Casita - 1-2 bedrooms|https://www.booking.com/hotel/es/a-pleasant-little-house-in-the-mountains-with-beautiful-views-of-the-costa-del-s.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,5|18|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|El Tio Mateo|https://www.booking.com/hotel/es/el-tio-mateo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|852|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel y Bungalows Balcón de Competa|https://www.booking.com/hotel/es/balcondecompeta.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,7|296|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Bienvenida 2|https://www.booking.com/hotel/es/bienvenida-2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|11|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|BENALMADENA sol y playa|https://www.booking.com/hotel/es/playa-de-benalmadena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|4,8|23|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Geysotur TORROX PLAYA Centro de Ocio y Tiempo Libre|https://www.booking.com/hotel/es/torrox-playa-centro-de-ocio-y-tiempo-libre.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|170|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel & Spa PLAZA Arriate|https://www.booking.com/hotel/es/hoteles-con-embrujo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,9|649|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Casa María|https://www.booking.com/hotel/es/casa-maria-malaga1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,2|557|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Casa El Banco|https://www.booking.com/hotel/es/casa-el-banco-iznate.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,6|41|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel La Yedra|https://www.booking.com/hotel/es/la-yedra.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,9|1952|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|Vistas del Valle|https://www.booking.com/hotel/es/vistas-del-valle.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|61|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Studio Pinar|https://www.booking.com/hotel/es/studio-pinar.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,1|37|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Céntrico estudio Torremolinos|https://www.booking.com/hotel/es/centrico-estudio-torremolinos-torremolinos.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|6,9|27|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|La Posada de Mijas|https://www.booking.com/hotel/es/hostal-la-posada-mijas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|1861|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Suite La Fuente|https://www.booking.com/hotel/es/suite-la-fuente.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,5|17|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal El Escudo de Mijas|https://www.booking.com/hotel/es/es-escudo-de-mijas.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|1205|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|TaDawn Literary|https://www.booking.com/hotel/es/tadawn.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|218|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Ventorrillo de Rosa|https://www.booking.com/hotel/es/ventorrillo-de-rosa.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|19|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel Posada del Bandolero|https://www.booking.com/hotel/es/posada-del-bandolero-el-borge.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|351|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Olive Branch El Chorro|https://www.booking.com/hotel/es/olive-branch.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|220|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Hotel Avenida|https://www.booking.com/hotel/es/alojamientos-avenida-2.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|1223|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Posadas de España Malaga|https://www.booking.com/hotel/es/posadasmalaga.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|4092|Hotel|3|2026-09-16|2026-09-19|2|1|0
Málaga|Casa Rural Torrox - Cortijo Latero|https://www.booking.com/hotel/es/casa-rural-torrox-cortijo-latero.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|78|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|La casita de Margo|https://www.booking.com/hotel/es/la-casita-de-margo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,8|120|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Luxury and secluded apartment set in Valle Romano|https://www.booking.com/hotel/es/luxury-and-secluded-apartment-set-in-valle-romano.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|58|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Residencia Universitaria San José|https://www.booking.com/hotel/es/residencia-unoversitaria-san-jose.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,3|2002|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Salamandra Plaza|https://www.booking.com/hotel/es/salamandra-plaza-b-amp-b.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|451|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Apartamentos nueva 13|https://www.booking.com/hotel/es/apartamentos-gav-ronda.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,5|1339|NA|NA|2026-09-16|2026-09-19|2|1|0
Málaga|Hostal Azahara|https://www.booking.com/hotel/es/hostal-azahara.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|2105|Hotel|1|2026-09-16|2026-09-19|2|1|0
Málaga|Galteo Almendra - Pool|https://www.booking.com/hotel/es/calle-almendra-17b.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,1|125|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|beautiful studio in Benalmádena|https://www.booking.com/hotel/es/beautiful-studio-in-benalmadena.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|16|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Málaga|Casa Angelita Caminito del Rey, Dúplex con terraza en el centro de Andalucía|https://www.booking.com/hotel/es/casa-angelita-valle-de-abdalajis.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,4|38|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Málaga|Estudio de verdiales|https://www.booking.com/hotel/es/estudio-verdiales-centro-de-torremolinos.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|6,3|18|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
