lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Playa de Marbella (La Venus)|El Tio Mateo|https://www.booking.com/hotel/es/el-tio-mateo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|851|Hotel|1|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Hostal El Caprichito Marbella|https://www.booking.com/hotel/es/alisol-boutique-marbella.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,5|1988|Hotel|1|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Casa Postigos|https://www.booking.com/hotel/es/casa-postigos.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|817|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Villa Palma|https://www.booking.com/hotel/es/villa-palma-marbella1.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1533|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Hotel Monarque El Rodeo|https://www.booking.com/hotel/es/el-rodeo.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1675|Hotel|3|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Villa Las Lomas de Marbella|https://www.booking.com/hotel/es/las-lomas-de-marbella.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,6|81|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Moderno Estudio en Marbella Centro y Cerca del mar - MARINO II 111|https://www.booking.com/hotel/es/lujoso-estudio-cerca-del-mar-en-marbella-centro-marino-ii-111.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,1|14|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Apartamentos Guadalpin Boutique|https://www.booking.com/hotel/es/apartamentos-guadalpin-boutique.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|1272|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|AluaSun Marbella Park|https://www.booking.com/hotel/es/hotel-aluasun-marbella-park.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|7,6|2101|Hotel|4|2026-09-16|2026-09-19|2|1|0
Playa de Marbella (La Venus)|Lucero 12|https://www.booking.com/hotel/es/lucero-12.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|906|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
