lugar|titulo|url_estancia|valoracion_clientes|n_valoraciones|tipo|estrellas|fecha_entrada|fecha_salida|n_adultos|n_habitaciones|n_menores
Rota|Hotel Caribe|https://www.booking.com/hotel/es/caribe-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,3|1087|Hotel|3|2026-09-16|2026-09-19|2|1|0
Rota|Hotel Duque de Najera|https://www.booking.com/hotel/es/duquedenajera.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,0|694|Hotel|4|2026-09-16|2026-09-19|2|1|0
Rota|Casa juani|https://www.booking.com/hotel/es/casa-juani-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|82|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Apartahotel La Espadaña|https://www.booking.com/hotel/es/apartahotellaespadana.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,9|160|Hotel|3|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento en Playa Ballena III|https://www.booking.com/hotel/es/apartamento-playa-ballena-iii-rota.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,2|19|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Hotel Macavi Playa|https://www.booking.com/hotel/es/hs-restaurante-macavi.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,6|588|Hotel|2|2026-09-16|2026-09-19|2|1|0
Rota|Dunas y Luz|https://www.booking.com/hotel/es/dunas-y-luz-s-a.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,4|292|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Apartamento Rota - Costa de la Luz Centro|https://www.booking.com/hotel/es/apartamento-rota-costa-de-la-luz-centro.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|NA|NA|Apartamento/Casa/Estudio|3|2026-09-16|2026-09-19|2|1|0
Rota|Punta Candor Suites|https://www.booking.com/hotel/es/punta-candor-suites.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,3|510|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Summerland Apartments Rota|https://www.booking.com/hotel/es/summerland-apartments.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|9,1|163|Apartamento/Casa/Estudio|4|2026-09-16|2026-09-19|2|1|0
Rota|Hotel La Parrita|https://www.booking.com/hotel/es/la-parrita.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,7|552|Hotel|3|2026-09-16|2026-09-19|2|1|0
Rota|Estudio Rota Centro - Playa a 100 Metros|https://www.booking.com/hotel/es/estudio-rota-centro-playa-a-100-metros.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|NA|NA|NA|NA|2026-09-16|2026-09-19|2|1|0
Rota|Suite Rota - Casco Antiguo y Playa a Pie|https://www.booking.com/hotel/es/suite-rota-casco-antiguo-y-playa-a-pie.es.html?checkin=2026-09-16&checkout=2026-09-19&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0|8,0|1|NA|NA|2026-09-16|2026-09-19|2|1|0
